pick,team,plyr,pos,author,site
1,CIN,Joe Burrow,QB,Ryan Wilson,cbs.com
2,WAS,Chase Young,EDGE,Ryan Wilson,cbs.com
3,MIA,Jeff Okudah,CB,Ryan Wilson,cbs.com
4,NYG,Jedrick Wills Jr.,OL,Ryan Wilson,cbs.com
5,MIA,Tua Tagovailoa,QB,Ryan Wilson,cbs.com
6,LAC,Isaiah Simmons,LB,Ryan Wilson,cbs.com
7,CAR,Derrick Brown,DL,Ryan Wilson,cbs.com
8,ARI,Tristan Wirfs,OL,Ryan Wilson,cbs.com
9,JAC,Justin Herbert,QB,Ryan Wilson,cbs.com
10,CLE,Andrew Thomas,OL,Ryan Wilson,cbs.com
11,NYJ,Mekhi Becton,OL,Ryan Wilson,cbs.com
12,LV,CeeDee Lamb,WR,Ryan Wilson,cbs.com
13,SF,Jerry Jeudy,WR,Ryan Wilson,cbs.com
14,TB,Josh Jones,OL,Ryan Wilson,cbs.com
15,DEN,Henry Ruggs III,WR,Ryan Wilson,cbs.com
16,ATL,K'Lavon Chaisson,EDGE,Ryan Wilson,cbs.com
17,DAL,CJ Henderson,CB,Ryan Wilson,cbs.com
18,MIA,Javon Kinlaw,DL,Ryan Wilson,cbs.com
19,LV,Jeff Gladney,CB,Ryan Wilson,cbs.com
20,JAC,A.J. Terrell,CB,Ryan Wilson,cbs.com
21,PHI,Denzel Mims,WR,Ryan Wilson,cbs.com
22,MIN,Kristian Fulton,CB,Ryan Wilson,cbs.com
23,NE,Jordan Love,QB,Ryan Wilson,cbs.com
24,NO,Kenneth Murray,LB,Ryan Wilson,cbs.com
25,MIN,Justin Jefferson,WR,Ryan Wilson,cbs.com
26,MIA,D'Andre Swift,RB,Ryan Wilson,cbs.com
27,SEA,Cesar Ruiz,OL,Ryan Wilson,cbs.com
28,BAL,Patrick Queen,LB,Ryan Wilson,cbs.com
29,TEN,Yetur Gross-Matos,EDGE,Ryan Wilson,cbs.com
30,GB,Jalen Reagor,WR,Ryan Wilson,cbs.com
31,SF,Trevon Diggs,CB,Ryan Wilson,cbs.com
32,KC,Zack Baun,LB,Ryan Wilson,cbs.com
1,CIN,Joe Burrow,QB,Chris Trapasso,cbs.com
2,WAS,Chase Young,EDGE,Chris Trapasso,cbs.com
3,LAC,Tua Tagovailoa,QB,Chris Trapasso,cbs.com
4,NYG,Tristan Wirfs,OL,Chris Trapasso,cbs.com
5,MIA,Justin Herbert,QB,Chris Trapasso,cbs.com
6,DET,Isaiah Simmons,LB,Chris Trapasso,cbs.com
7,TB,Jedrick Wills Jr.,OL,Chris Trapasso,cbs.com
8,ARI,Mekhi Becton,OL,Chris Trapasso,cbs.com
9,JAC,Jeff Okudah,CB,Chris Trapasso,cbs.com
10,CLE,Andrew Thomas,OL,Chris Trapasso,cbs.com
11,NYJ,Henry Ruggs III,WR,Chris Trapasso,cbs.com
12,LV,Jordan Love,QB,Chris Trapasso,cbs.com
13,PHI,Jerry Jeudy,WR,Chris Trapasso,cbs.com
14,CAR,CJ Henderson,CB,Chris Trapasso,cbs.com
15,DEN,CeeDee Lamb,WR,Chris Trapasso,cbs.com
16,ATL,K'Lavon Chaisson,EDGE,Chris Trapasso,cbs.com
17,DAL,Javon Kinlaw,DL,Chris Trapasso,cbs.com
18,MIA,Josh Jones,OL,Chris Trapasso,cbs.com
19,LV,Kristian Fulton,CB,Chris Trapasso,cbs.com
20,JAC,Kenneth Murray,LB,Chris Trapasso,cbs.com
21,SF,Denzel Mims,WR,Chris Trapasso,cbs.com
22,MIN,Derrick Brown,DL,Chris Trapasso,cbs.com
23,NE,Justin Jefferson,WR,Chris Trapasso,cbs.com
24,NO,Patrick Queen,LB,Chris Trapasso,cbs.com
25,MIN,Jalen Reagor,WR,Chris Trapasso,cbs.com
26,MIA,Xavier McKinney,S,Chris Trapasso,cbs.com
27,SEA,Ezra Cleveland,OL,Chris Trapasso,cbs.com
28,BAL,Cesar Ruiz,OL,Chris Trapasso,cbs.com
29,TEN,A.J. Epenesa,EDGE,Chris Trapasso,cbs.com
30,GB,Neville Gallimore,DL,Chris Trapasso,cbs.com
31,SF,Jeff Gladney,CB,Chris Trapasso,cbs.com
32,KC,Noah Igbinoghene,CB,Chris Trapasso,cbs.com
1,CIN,Joe Burrow,QB,Pete Prisco,cbs.com
2,WAS,Chase Young,EDGE,Pete Prisco,cbs.com
3,DET,Derrick Brown,DL,Pete Prisco,cbs.com
4,NYG,Andrew Thomas,OL,Pete Prisco,cbs.com
5,MIA,Tua Tagovailoa,QB,Pete Prisco,cbs.com
6,LAC,Justin Herbert,QB,Pete Prisco,cbs.com
7,CAR,Jeff Okudah,CB,Pete Prisco,cbs.com
8,ARI,Jedrick Wills Jr.,OL,Pete Prisco,cbs.com
9,JAC,Mekhi Becton,OL,Pete Prisco,cbs.com
10,CLE,Isaiah Simmons,LB,Pete Prisco,cbs.com
11,NYJ,Henry Ruggs III,WR,Pete Prisco,cbs.com
12,LV,CJ Henderson,CB,Pete Prisco,cbs.com
13,SF,CeeDee Lamb,WR,Pete Prisco,cbs.com
14,TB,Tristan Wirfs,OL,Pete Prisco,cbs.com
15,DEN,Jerry Jeudy,WR,Pete Prisco,cbs.com
16,ATL,Javon Kinlaw,DL,Pete Prisco,cbs.com
