TEAM,PLYR,POS,AUTHOR,SITE,PICK
Cincinnati Bengals,Joe Burrow,QB,walter-football,walterfootball.com,1
Washington Redskins,Chase Young,DE/OLB,walter-football,walterfootball.com,2
Los Angeles Chargers,Tua Tagovailoa,QB,walter-football,walterfootball.com,3
New York Giants,Tristan Wirfs,OT,walter-football,walterfootball.com,4
Miami Dolphins,Justin Herbert,QB,walter-football,walterfootball.com,5
Detroit Lions,Jeff Okudah,CB,walter-football,walterfootball.com,6
Carolina Panthers,Derrick Brown,DE/DT,walter-football,walterfootball.com,7
Arizona Cardinals,Isaiah Simmons,LB/S,walter-football,walterfootball.com,8
Jacksonville Jaguars,Javon Kinlaw,DT,walter-football,walterfootball.com,9
Cleveland Browns,Jedrick Wills,OT,walter-football,walterfootball.com,10
New York Jets,Mekhi Becton,OT,walter-football,walterfootball.com,11
Las Vegas Raiders,Jerry Jeudy,WR,walter-football,walterfootball.com,12
San Francisco 49ers,CeeDee Lamb,WR,walter-football,walterfootball.com,13
Tampa Bay Buccaneers,Andrew Thomas,OT,walter-football,walterfootball.com,14
Denver Broncos,Henry Ruggs,WR,walter-football,walterfootball.com,15
Atlanta Falcons,C.J. Henderson,CB,walter-football,walterfootball.com,16
Dallas Cowboys,K'Lavon Chaisson,DE,walter-football,walterfootball.com,17
Miami Dolphins,Josh Jones,OT,walter-football,walterfootball.com,18
Las Vegas Raiders,Kenneth Murray,LB,walter-football,walterfootball.com,19
Jacksonville Jaguars,Patrick Queen,LB,walter-football,walterfootball.com,20
Philadelphia Eagles,Justin Jefferson,WR,walter-football,walterfootball.com,21
Minnesota Vikings,Austin Jackson,OT,walter-football,walterfootball.com,22
New England Patriots,Xavier McKinney,S,walter-football,walterfootball.com,23
New Orleans Saints,Ross Blacklock,DT,walter-football,walterfootball.com,24
Minnesota Vikings,Yetur Gross-Matos,DE,walter-football,walterfootball.com,25
Miami Dolphins,D'Andre Swift,RB,walter-football,walterfootball.com,26
Seattle Seahawks,Jeremy Chinn,S,walter-football,walterfootball.com,27
Baltimore Ravens,Jonathan Taylor,RB,walter-football,walterfootball.com,28
Tennessee Titans,A.J. Epenesa,DE/OLB,walter-football,walterfootball.com,29
Green Bay Packers,Denzel Mims,WR,walter-football,walterfootball.com,30
San Francisco 49ers,Cesar Ruiz,C,walter-football,walterfootball.com,31
Kansas City Chiefs,Damon Arnette,CB,walter-football,walterfootball.com,32
Cincinnati Bengals,Isaiah Wilson,OT,walter-football,walterfootball.com,33
Indianapolis Colts,Trevon Diggs,CB,walter-football,walterfootball.com,34
Detroit Lions,Zack Baun,DE/OLB,walter-football,walterfootball.com,35
New York Giants,Antoine Winfield Jr.,S,walter-football,walterfootball.com,36
Detroit Lions,J.K. Dobbins,RB,walter-football,walterfootball.com,37
Carolina Panthers,Grant Delpit,S,walter-football,walterfootball.com,38
Miami Dolphins,Kyle Dugger,S,walter-football,walterfootball.com,39
Houston Texans,Shane Lemieux,G,walter-football,walterfootball.com,40
Cleveland Browns,Solomon Kindley,G,walter-football,walterfootball.com,41
Jacksonville Jaguars,Laviska Shenault,WR,walter-football,walterfootball.com,42
Chicago Bears,Ezra Cleveland,OT,walter-football,walterfootball.com,43
Indianapolis Colts,Chase Claypool,WR,walter-football,walterfootball.com,44
Tampa Bay Buccaneers,Cam Akers,RB,walter-football,walterfootball.com,45
Denver Broncos,Robert Hunt,G,walter-football,walterfootball.com,46
Atlanta Falcons,Jordan Love,QB,walter-football,walterfootball.com,47
New York Jets,Tee Higgins,WR,walter-football,walterfootball.com,48
Pittsburgh Steelers,Jon Greenard,DE/OLB,walter-football,walterfootball.com,49
Chicago Bears,Jalen Reagor,WR,walter-football,walterfootball.com,50
Dallas Cowboys,A.J. Terrell,CB,walter-football,walterfootball.com,51
Los Angeles Rams,Tyler Biadasz,C,walter-football,walterfootball.com,52
Philadelphia Eagles,K.J. Hamler,WR,walter-football,walterfootball.com,53
Buffalo Bills,Lucas Niang,OT,walter-football,walterfootball.com,54
Baltimore Ravens,Brandon Aiyuk,WR,walter-football,walterfootball.com,55
Miami Dolphins,Lloyd Cushenberry,C,walter-football,walterfootball.com,56
Houston Texans,Gabriel Davis,WR,walter-football,walterfootball.com,57
Minnesota Vikings,Noah Igbinoghene,CB,walter-football,walterfootball.com,58
Seattle Seahawks,Justin Madubuike,DT,walter-football,walterfootball.com,59
Baltimore Ravens,Lynn Bowden,WR/KR,walter-football,walterfootball.com,60
Tennessee Titans,Clyde Edwards-Helaire,RB,walter-football,walterfootball.com,61
Green Bay Packers,Raekwon Davis,DE/DT,walter-football,walterfootball.com,62
Kansas City Chiefs,Logan Stenberg,G,walter-football,walterfootball.com,63
Seattle Seahawks,Ben Bartch,G,walter-football,walterfootball.com,64
Cincinnati Bengals,Jordyn Brooks,LB,walter-football,walterfootball.com,65
Washington Redskins,Albert Okwuegbunam,TE,walter-football,walterfootball.com,66
Detroit Lions,Jacob Eason,QB,walter-football,walterfootball.com,67
New York Jets,Terrell Lewis,DE/OLB,walter-football,walterfootball.com,68
Carolina Panthers,Darnay Holmes,CB,walter-football,walterfootball.com,69
Miami Dolphins,Prince Tega Wanogho,OT,walter-football,walterfootball.com,70
Los Angeles Chargers,Matt Peart,OT,walter-football,walterfootball.com,71
Arizona Cardinals,Cameron Dantzler,CB,walter-football,walterfootball.com,72
Jacksonville Jaguars,Ashtyn Davis,S,walter-football,walterfootball.com,73
Cleveland Browns,Jacob Phillips,LB,walter-football,walterfootball.com,74
Indianapolis Colts,Cole Kmet,TE,walter-football,walterfootball.com,75
Tampa Bay Buccaneers,Jaylon Johnson,CB,walter-football,walterfootball.com,76
Denver Broncos,Kenny Robinson,CB,walter-football,walterfootball.com,77
Atlanta Falcons,Nick Coe,DE/DT,walter-football,walterfootball.com,78
New York Jets,Jeff Gladney,CB,walter-football,walterfootball.com,79
Las Vegas Raiders,K.J. Hill,WR,walter-football,walterfootball.com,80
Las Vegas Raiders,Kristian Fulton,CB,walter-football,walterfootball.com,81
Dallas Cowboys,Nick Harris,C,walter-football,walterfootball.com,82
Denver Broncos,Terrance Steele,OT,walter-football,walterfootball.com,83
Los Angeles Rams,Ben Bredeson,G,walter-football,walterfootball.com,84
Detroit Lions,Marlon Davidson,DE/DT,walter-football,walterfootball.com,85
Buffalo Bills,Zack Moss,RB,walter-football,walterfootball.com,86
New England Patriots,Jake Fromm,QB,walter-football,walterfootball.com,87
New Orleans Saints,Troy Pride,CB,walter-football,walterfootball.com,88
Minnesota Vikings,James Lynch,DE/DT,walter-football,walterfootball.com,89
Houston Texans,Bryce Hall,CB,walter-football,walterfootball.com,90
Las Vegas Raiders,Bradley Anae,DE/OLB,walter-football,walterfootball.com,91
Baltimore Ravens,Thaddeus Moss,TE,walter-football,walterfootball.com,92
Tennessee Titans,Colby Parkinson,TE,walter-football,walterfootball.com,93
Green Bay Packers,Jared Pinkney,TE,walter-football,walterfootball.com,94
Denver Broncos,Kenny Willekes,DE,walter-football,walterfootball.com,95
Kansas City Chiefs,Anfernee Jennings,LB,walter-football,walterfootball.com,96
Cleveland Browns,Levi Onwuzurike,DT,walter-football,walterfootball.com,97
New England Patriots,Troy Dye,LB,walter-football,walterfootball.com,98
New York Giants,Julian Okwara,DE/OLB,walter-football,walterfootball.com,99
New England Patriots,Neville Gallimore,DT,walter-football,walterfootball.com,100
Seattle Seahawks,Willie Gay Jr.,LB,walter-football,walterfootball.com,101
Pittsburgh Steelers,Jalen Hurts,QB,walter-football,walterfootball.com,102
Philadelphia Eagles,Jake Hanson,C,walter-football,walterfootball.com,103
Los Angeles Rams,Lamical Perine,RB,walter-football,walterfootball.com,104
Minnesota Vikings,Antonio Gandy-Golden,WR,walter-football,walterfootball.com,105
Baltimore Ravens,Khaleke Hudson,LB/S,walter-football,walterfootball.com,106
Cincinnati Bengals,Collin Johnson,WR,walter-football,walterfootball.com,107
Washington Redskins,Reggie Robinson,CB,walter-football,walterfootball.com,108
Detroit Lions,Josh Uche,DE/LB,walter-football,walterfootball.com,109
New York Giants,Curtis Weaver,DE/OLB,walter-football,walterfootball.com,110
Arizona Cardinals,Jordan Elliott,DE/DT,walter-football,walterfootball.com,111
Los Angeles Chargers,Kendrick Rogers,WR,walter-football,walterfootball.com,112
Carolina Panthers,Michael Pittman Jr.,WR,walter-football,walterfootball.com,113
Arizona Cardinals,David Woodward,LB,walter-football,walterfootball.com,114
Cleveland Browns,Tyler Johnson,WR,walter-football,walterfootball.com,115
Jacksonville Jaguars,Saahdiq Charles,OT,walter-football,walterfootball.com,116
Tampa Bay Buccaneers,James Morgan,QB,walter-football,walterfootball.com,117
Denver Broncos,Bryan Edwards,WR,walter-football,walterfootball.com,118
Atlanta Falcons,A.J. Dillon,RB,walter-football,walterfootball.com,119
New York Jets,Eno Benjamin,RB,walter-football,walterfootball.com,120
Las Vegas Raiders,J.R. Reed,S,walter-football,walterfootball.com,121
Indianapolis Colts,Casey Toohill,LB,walter-football,walterfootball.com,122
Dallas Cowboys,Van Jefferson,WR,walter-football,walterfootball.com,123
Pittsburgh Steelers,Darrynton Evans,RB,walter-football,walterfootball.com,124
New England Patriots,Adam Trautman,TE,walter-football,walterfootball.com,125
Los Angeles Rams,Ke'Shawn Vaughn,RB,walter-football,walterfootball.com,126
Philadelphia Eagles,Essang Bassey,CB,walter-football,walterfootball.com,127
Buffalo Bills,Chauncey Rivers,DE,walter-football,walterfootball.com,128
Baltimore Ravens,Joe Gaziano,DE/DT,walter-football,walterfootball.com,129
New Orleans Saints,Krys Barnes,LB,walter-football,walterfootball.com,130
Arizona Cardinals,Jordan Fuller,S,walter-football,walterfootball.com,131
Minnesota Vikings,Jonah Jackson,G,walter-football,walterfootball.com,132
Seattle Seahawks,Jason Strowbridge,DE/DT,walter-football,walterfootball.com,133
Baltimore Ravens,Larrell Murchison,DT,walter-football,walterfootball.com,134
Pittsburgh Steelers,Matt Hennessy,C,walter-football,walterfootball.com,135
Green Bay Packers,Quartney Davis,WR,walter-football,walterfootball.com,136
Jacksonville Jaguars,Hunter Bryant,TE,walter-football,walterfootball.com,137
Kansas City Chiefs,Khalid Kareem,DE,walter-football,walterfootball.com,138
Tampa Bay Buccaneers,Jack Driscoll,OT,walter-football,walterfootball.com,139
Chicago Bears,John Simpson,G,walter-football,walterfootball.com,140
Miami Dolphins,D.J. Wonnum,DE/OLB,walter-football,walterfootball.com,141
Washington Redskins,Michael Divinity,LB,walter-football,walterfootball.com,142
Baltimore Ravens,Jabari Zuniga,DE,walter-football,walterfootball.com,143
Seattle Seahawks,Steven Montez,QB,walter-football,walterfootball.com,144
Philadelphia Eagles,Josh  Metellus,S,walter-football,walterfootball.com,145
Philadelphia Eagles,Joe Bachie,LB,walter-football,walterfootball.com,146
