pick,team,plyr,pos,author,site
1,CIN,Chase Young,Edge,cynthia-frelund,nfl.com
2,WAS,Andrew Thomas,OT,cynthia-frelund,nfl.com
3,DET,Jeff Okudah,CB,cynthia-frelund,nfl.com
4,NYG,Tristan Wirfs,OT,cynthia-frelund,nfl.com
5,MIA,Joe Burrow,QB,cynthia-frelund,nfl.com
6,LAC,Tua Tagovailoa,QB,cynthia-frelund,nfl.com
7,CAR,Isaiah Simmons,LB/S,cynthia-frelund,nfl.com
8,ARI,Mekhi Becton,OT,cynthia-frelund,nfl.com
9,JAC,Derrick Brown,DT,cynthia-frelund,nfl.com
10,CLE,Jedrick Wills,OT,cynthia-frelund,nfl.com
11,NYJ,K'Lavon Chaisson,Edge,cynthia-frelund,nfl.com
12,OAK,Jerry Jeudy,WR,cynthia-frelund,nfl.com
13,SF,CeeDee Lamb,WR,cynthia-frelund,nfl.com
14,TB,Javon Kinlaw,DT,cynthia-frelund,nfl.com
15,DEN,Laviska Shenault,WR,cynthia-frelund,nfl.com
16,ATL,A.J. Epenesa,Edge,cynthia-frelund,nfl.com
17,DAL,C.J. Henderson,CB,cynthia-frelund,nfl.com
18,MIA,Joshua Jones,OT,cynthia-frelund,nfl.com
19,OAK,Trevon Diggs,CB,cynthia-frelund,nfl.com
20,JAC,Xavier McKinney,S,cynthia-frelund,nfl.com
21,PHI,Henry Ruggs III,WR,cynthia-frelund,nfl.com
22,MIN,Tee Higgins,WR,cynthia-frelund,nfl.com
23,NE,Justin Herbert,QB,cynthia-frelund,nfl.com
24,NO,Patrick Queen,LB,cynthia-frelund,nfl.com
25,MIN,Kristian Fulton,CB,cynthia-frelund,nfl.com
26,MIA,Austin Jackson,OT,cynthia-frelund,nfl.com
27,SEA,Ross Blacklock,DT,cynthia-frelund,nfl.com
28,BAL,D'Andre Swift,RB,cynthia-frelund,nfl.com
29,TEN,Yetur Gross-Matos,Edge,cynthia-frelund,nfl.com
30,GB,Justin Jefferson,WR,cynthia-frelund,nfl.com
