pick,team,plyr,pos,author,site
1,Cincinnati Bengals,Joe Burrow,QB,eager-and-chahrouri,PFF
2,Miami Dolphins,Tua Tagovailoa,QB,eager-and-chahrouri,PFF
3,Detroit Lions,Jeffrey Okudah,CB,eager-and-chahrouri,PFF
4,New York Giants,Henry Ruggs III,WR,eager-and-chahrouri,PFF
5,Washington Redskins,Chase Young,Edge,eager-and-chahrouri,PFF
6,Los Angeles Chargers,Jerry Jeudy,WR,eager-and-chahrouri,PFF
7,Carolina Panthers,Isaiah Simmons,Playmaker,eager-and-chahrouri,PFF
8,Arizona Cardinals,Tristan Wirfs,OT,eager-and-chahrouri,PFF
9,Jacksonville Jaguars,Andrew Thomas,OT,eager-and-chahrouri,PFF
10,Cleveland Browns,Josh Jones,OT,eager-and-chahrouri,PFF
11,New York Jets,CeeDee Lamb,WR,eager-and-chahrouri,PFF
12,Las Vegas Raiders,Kristian Fulton,CB,eager-and-chahrouri,PFF
13,San Francisco 49ers,Jalen Reagor,WR,eager-and-chahrouri,PFF
14,Tampa Bay Buccaneers,Grant Delpit,S,eager-and-chahrouri,PFF
15,Denver Broncos,Laviska Shenault,WR,eager-and-chahrouri,PFF
16,Atlanta Falcons,C.J. Henderson,CB,eager-and-chahrouri,PFF
17,Dallas Cowboys,Trevon Diggs,CB,eager-and-chahrouri,PFF
18,Washington Redskins,Ezra Cleveland,OT,eager-and-chahrouri,PFF
19,Las Vegas Raiders,Justin Jefferson,WR,eager-and-chahrouri,PFF
20,Jacksonville Jaguars,Jeff Gladney,CB,eager-and-chahrouri,PFF
21,Philadelphia Eagles,Denzel Mims,WR,eager-and-chahrouri,PFF
22,Minnesota Vikings,Tee Higgins,WR,eager-and-chahrouri,PFF
23,New England Patriots,Ashtyn Davis,S,eager-and-chahrouri,PFF
24,New Orleans Saints,Chase Claypool,WR,eager-and-chahrouri,PFF
25,Minnesota Vikings,Cameron Dantzler,CB,eager-and-chahrouri,PFF
26,Miami Dolphins,Jack Driscoll,OT,eager-and-chahrouri,PFF
27,Seattle Seahawks,Kenny Robinson Jr,CB,eager-and-chahrouri,PFF
28,Baltimore Ravens,Curtis Weaver,Edge,eager-and-chahrouri,PFF
29,Tennessee Titans,Matt Peart,OT,eager-and-chahrouri,PFF
30,Green Bay Packers,Jedrick Wills,OT,eager-and-chahrouri,PFF
31,San Francisco 49ers,Jaylon Johnson,CB,eager-and-chahrouri,PFF
32,Kansas City Chiefs,Davion Taylor,LB,eager-and-chahrouri,PFF
