pick,team,plyr,pos,author,site
1,Cincinnati Bengals,Joe Burrow,QB,dan kadar,sbnation
2,Washington,Chase Young,DE,dan kadar,sbnation
3,Los Angeles Chargers,Tua Tagovailoa,QB,dan kadar,sbnation
4,New York Giants,Mekhi Becton,OT,dan kadar,sbnation
5,Miami Dolphins,Justin Herbert,QB,dan kadar,sbnation
6,Detroit Lions,Jeff Okudah,CB,dan kadar,sbnation
7,Tampa Bay Buccaneers,Tristan Wirfs,OT,dan kadar,sbnation
8,Arizona Cardinals,Jedrick Wills,OT,dan kadar,sbnation
9,New York Jets,Andrew Thomas,OT,dan kadar,sbnation
10,Denver Broncos,Jerry Jeudy,WR,dan kadar,sbnation
11,Jacksonville Jaguars,Isaiah Simmons,LB,dan kadar,sbnation
12,Las Vegas Raiders,Henry Ruggs III,WR,dan kadar,sbnation
13,San Francisco 49ers (via Indianapolis Colts),CeeDee Lamb,WR,dan kadar,sbnation
14,Carolina Panthers,Derrick Brown,DT,dan kadar,sbnation
15,Cleveland Browns,Ezra Cleveland,OT,dan kadar,sbnation
16,Philadelphia Eagles,Justin Jefferson,WR,dan kadar,sbnation
17,Dallas Cowboys,Javon Kinlaw,DT,dan kadar,sbnation
18,Miami Dolphins (via Pittsburgh Steelers),K’Lavon Chaisson,Edge,dan kadar,sbnation
19,Las Vegas Raiders (via Chicago Bears),CJ Henderson,CB,dan kadar,sbnation
20,Jacksonville Jaguars (via Los Angeles Rams),Austin Jackson,OT,dan kadar,sbnation
21,Atlanta Falcons,Trevon Diggs,CB,dan kadar,sbnation
22,Minnesota Vikings (via Buffalo Bills),Kristian Fulton,CB,dan kadar,sbnation
23,New England Patriots,Yetur Gross-Matos,Edge,dan kadar,sbnation
24,New Orleans Saints,Kenneth Murray,LB,dan kadar,sbnation
25,Minnesota Vikings,Jalen Reagor,WR,dan kadar,sbnation
26,Miami Dolphins (via Houston Texans),Josh Jones,OT,dan kadar,sbnation
27,Indianapolis Colts,Jordan Love,QB,dan kadar,sbnation
28,Baltimore Ravens,Patrick Queen,LB,dan kadar,sbnation
29,Tennessee Titans,Isaiah Wilson,OT,dan kadar,sbnation
30,Green Bay Packers,Laviska Shenault Jr.,WR,dan kadar,sbnation
31,San Francisco 49ers,Xavier McKinney,S,dan kadar,sbnation
32,Kansas City Chiefs,Jaylon Johnson,CB,dan kadar,sbnation
